Welcome To GreaterWMS
2024-02-11 17:02:02,680 INFO     Starting server at tcp:port=8008:interface=0.0.0.0
2024-02-11 17:02:02,682 INFO     HTTP/2 support enabled
2024-02-11 17:02:02,682 INFO     Configuring endpoint tcp:port=8008:interface=0.0.0.0
2024-02-11 17:02:02,684 INFO     Listening on TCP address 0.0.0.0:8008
Welcome To GreaterWMS
2024-02-11 17:03:57,310 INFO     Starting server at tcp:port=8008:interface=0.0.0.0
2024-02-11 17:03:57,311 INFO     HTTP/2 support enabled
2024-02-11 17:03:57,312 INFO     Configuring endpoint tcp:port=8008:interface=0.0.0.0
2024-02-11 17:03:57,314 INFO     Listening on TCP address 0.0.0.0:8008
172.18.0.1:52896 - - [11/Feb/2024:17:14:47] "POST /login/" 200 102
172.18.0.1:56018 - - [11/Feb/2024:17:22:22] "POST /login/" 200 102
172.18.0.1:59606 - - [11/Feb/2024:17:29:45] "POST /login/" 200 148
172.18.0.1:37230 - - [11/Feb/2024:17:31:55] "POST /login/" 200 148
172.18.0.1:37230 - - [11/Feb/2024:17:32:22] "POST /login/" 200 148
172.18.0.1:37230 - - [11/Feb/2024:17:32:57] "POST /login/" 200 148
172.18.0.1:37230 - - [11/Feb/2024:17:33:52] "POST /login/" 200 148
172.18.0.1:37230 - - [11/Feb/2024:17:34:28] "POST /login/" 200 148
172.18.0.1:48208 - - [11/Feb/2024:17:49:56] "POST /login/" 200 148
172.18.0.1:49020 - - [11/Feb/2024:17:51:23] "POST /login/" 200 148
172.18.0.1:49020 - - [11/Feb/2024:17:52:11] "POST /login/" 200 148
172.18.0.1:49628 - - [11/Feb/2024:17:53:50] "POST /login/" 200 148
172.18.0.1:32836 - - [11/Feb/2024:17:57:24] "POST /login/" 200 148
172.18.0.1:40734 - - [11/Feb/2024:18:01:12] "POST /login/" 200 148
172.18.0.1:57304 - - [11/Feb/2024:18:06:33] "POST /login/" 200 148
172.18.0.1:57304 - - [11/Feb/2024:18:06:44] "POST /login/" 200 148
172.18.0.1:57304 - - [11/Feb/2024:18:07:02] "POST /login/" 200 148
172.18.0.1:45090 - - [11/Feb/2024:18:13:07] "OPTIONS /register/" 200 -
172.18.0.1:45090 - - [11/Feb/2024:18:13:09] "POST /register/" 200 148
172.18.0.1:38904 - - [11/Feb/2024:18:18:25] "POST /register/" 200 149
172.18.0.1:38904 - - [11/Feb/2024:18:18:57] "POST /register/" 200 78
172.18.0.1:36508 - - [11/Feb/2024:18:21:01] "POST /register/" 200 78
172.18.0.1:36508 - - [11/Feb/2024:18:21:24] "POST /register/" 200 78
172.18.0.1:36508 - - [11/Feb/2024:18:21:49] "POST /register/" 200 78
172.18.0.1:36508 - - [11/Feb/2024:18:22:33] "POST /register/" 200 150
172.18.0.1:36508 - - [11/Feb/2024:18:23:20] "POST /register/" 200 79
172.18.0.1:36508 - - [11/Feb/2024:18:23:40] "POST /register/" 200 152
172.18.0.1:37092 - - [11/Feb/2024:18:35:15] "OPTIONS /register/" 200 -
172.18.0.1:37092 - - [11/Feb/2024:18:35:19] "POST /register/" 200 147
172.18.0.1:37092 - - [11/Feb/2024:18:35:25] "POST /register/" 200 76
172.18.0.1:37092 - - [11/Feb/2024:18:36:06] "POST /register/" 200 148
172.18.0.1:59898 - - [11/Feb/2024:18:36:30] "GET /statics/staff/stafftype.png" 200 5872
172.18.0.1:59908 - - [11/Feb/2024:18:36:30] "GET /statics/icons/logout.png" 200 3153
172.18.0.1:54706 - - [11/Feb/2024:18:43:37] "POST /login/" 200 148
172.18.0.1:54706 - - [11/Feb/2024:18:44:38] "POST /register/" 200 151
172.18.0.1:54706 - - [11/Feb/2024:18:45:29] "POST /register/" 200 148
172.18.0.1:46678 - - [11/Feb/2024:20:44:58] "POST /login/" 200 148
172.18.0.1:46678 - - [11/Feb/2024:20:45:42] "POST /register/" 200 152
172.18.0.1:53540 - - [11/Feb/2024:20:50:36] "POST /login/" 200 148
172.18.0.1:59948 - - [11/Feb/2024:20:57:35] "POST /login/" 200 148
172.18.0.1:48484 - - [11/Feb/2024:20:59:04] "OPTIONS /register/" 200 -
